real_name,screen_name,party_id,most_recent_chamber,date_of_birth,gender,repr_state,race,date_of_first_federal_assignment,date_of_last_federal_assignment,years_in_office_2020,white_non_white
Jaime Herrera Beutler,HerreraBeutler,R,House,3-Nov-78,F,Washington,Hispanic,2011,2020,9,Non-White
Michael E. Capuano,mikecapuano,D,House,9-Jan-52,M,Massachusetts,White,1999,2019,20,White
Frank D Lucas,RepFrankLucas,R,House,6-Jan-60,M,Oklahoma,White,1994,2020,26,White
Pete King,RepPeteKing,R,House,5-Apr-44,M,New York,White,1993,2020,27,White
George Radanovich,RepRadanovich,R,House,20-Jun-55,M,California,White,1995,2011,16,White
James L. Oberstar,JimOberstar,D,House,10-Sep-34,M,Minnesota,White,1975,2011,36,White
Candice S. Miller,CandiceMiller,R,House,7-May-54,F,Michigan,White,2003,2016,13,White
Mike Simpson,CongMikeSimpson,R,House,8-Sep-50,M,Idaho,White,1999,2020,21,White
Cliff Stearns,RepCliffStearns,R,House,16-Apr-41,M,Florida,White,1989,2013,24,White
Earl Blumenauer,BlumenauerMedia,D,House,16-Aug-48,M,Oregon,White,1996,2020,24,White
Tom McClintock,RepMcClintock,R,House,10-Jul-56,M,California,White,2009,2020,11,White
Arlen Specter,SenArlenSpecter,R,Senate,12-Feb-30,M,Pennsylvania,White,1981,2011,30,White
Scott Brown,USSenScottBrown,R,Senate,12-Sep-59,M,New Hampshire,White,2010,2013,3,White
Glenn Nye,GlennNye,D,House,9-Sep-74,M,Virginia,White,2009,2011,2,White
Luis V. Gutierrez,LuisGutierrez,D,House,10-Dec-53,M,Illinois,Hispanic,1993,2019,26,Non-White
Ron Paul,RepRonPaul,R,House,20-Aug-35,M,Texas,White,1976,2013,24,White
Christopher J. Dodd,SenChrisDodd,D,Senate,27-May-44,M,Connecticut,White,1975,2011,36,White
Bill Nelson,SenBillNelson,D,Senate,29-Sep-42,M,Florida,White,1979,2019,30,White
Carolyn McCarthy,RepMcCarthyNY,D,House,5-Jan-44,F,New York,White,1997,2015,18,White
Leonard Boswell,LeonardBoswell,D,House,30-Oct-57,M,Iowa,White,1997,2013,16,White
Dana Rohrabacher,DanaRohrabacher,R,House,21-Jun-47,M,California,White,1989,2019,30,White
Ron Klein,RepRonKlein,D,House,10-Jul-57,M,Florida,White,2007,2011,4,White
Spencer Bachus,BachusAL06,R,House,28-Dec-47,M,Alabama,White,1993,2015,22,White
Duncan Hunter,DuncanHunter,R,House,7-Dec-76,M,California,White,2009,2020,11,White
Jeff Sessions,jeffsessions,R,Senate,24-Dec-46,M,Alabama,White,1997,2017,20,White
